SMILES,Inhibition_A,Inhibition_B,Inhibition Mean
CC(=NN1CCN(CC1)C2=CC=C(C=C2)Cl)C3=CC=CO3,8.71813,10.2065,9.462315
CC1=CCC(CC1=NNC(=O)CNC2=CC=CC3=CC=CC=C32)C(=C)C,5.00559,2.05713,3.53136
CN(C)CCN1C2=C(CCCC2)C(=NC1=O)SCC(=O)NCC3=CC=CC=C3,0.342541,-1.86438,-0.7609195
CC1=C(SC2=C1C(=NC(=N2)C)SC(C)C(=O)NC3=CC=CC(=C3)C(F)(F)F)C(=O)O,19.8402,9.03467,14.437435
CCCCCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C31.[Br-],97.808,98.1382,97.9731
CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)C3=CC(=CC(=C3)OC)NC(=O)C4=CC(=NN4)C5=CC=C(C=C5)OC)C(F)(F)F,56.1593,56.9455,56.552400000000006
C1=CC=C(C(=C1)NC(=S)NC(=O)C2=CN=CC=C2)Br,1.68015,2.27543,1.97779
CC1=C(C=C(O1)S(=O)(=O)N2CCCC2)C(=O)NC3=CC=CC=C3,1.95614,2.19487,2.075505
C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)NC3=CC=CC=C3,-4.88204,-2.26251,-3.572275
CC1=CC(=CC=C1)C2=NN=C(N2C3=CC(=CC=C3)Cl)SCC#N,3.11564,5.3758,4.24572
CC(=NNC(=O)/C(=C/N(C)C)/C#N)CC(=O)C(F)(F)F,0.634006,0.984936,0.809471
COC1=CC(=C(C=C1)NC(=O)CN2C3=CC=CC=C3C(=O)N(C2=O)CC4CCCO4)OC,4.2888,1.72347,3.006135
CC(CCC1=CC=CO1)NC(=O)CCC2=NN=C3N2N=C(C=C3)NCC4=CC=CC=C4,0.617005,-1.24981,-0.3164025
C1=CC=C(C(=C1)CNCC2=CC=NC=C2)Cl.[Cl-],3.5005,-3.09015,0.2051750000000001
COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)OCC(CN3CCC(CC3)O)O,6.18253,1.91819,4.05036
C1=CC(=CC=C1C2=CC(=O)N3C(=N2)C=C(N3)C4=CC=C(C=C4)F)[N+](=O)[O-],-4.0679,-5.40328,-4.73559
CN1CCN(CC1)CCNC(=O)NC2=CC=C(C=C2)[N+](=O)[O-],1.38008,3.24166,2.31087
CC1(C2CCC1(C(=O)N(C2=O)NC(=O)C3=CC=C(C=C3)O)C)C,5.83655,8.56022,7.198385
COC1=CC=CC(=C1)CN2CC(CCC2=O)C(=O)NC3CCC(CC3)O,2.02317,1.93269,1.97793
COC1=CC=C(C=C1)C2=NOC(=N2)C3CCCN(C3)C(=O)C4=CC=CS4,7.32831,4.19242,5.760365
COC(=O)CCC(=O)NC1=NC=CS1,4.85574,2.21035,3.533045
C1=CC2=C(C=C1S(=O)(=O)NCC(=O)O)C(=O)C3=C2C=CC(=C3)S(=O)(=O)NCC(=O)O,3.93974,0.891791,2.4157655
CCCCN1C2=CC=CC=C2/C(=C/3\C(=O)N=C(S3)N4CCOCC4)/C1=O,-3.7827,0.672664,-1.555018
CC1=NN=C(N(C1=O)COC(=O)C2=CC=CC=C2)SC,5.55763,4.76714,5.162385
C1COCCN1CCCOC2=CC=CC=C2F,-1.77583,-0.648602,-1.212216
C1COCCN1C2=CN=C(C=C2)[N+](=O)[O-],2.29546,-1.3873,0.4540799999999999
C1COCCN1C2=CC=CC=C2NC(=O)CN3C(=O)C4=CC=CC=C4C3=O,4.74389,3.13257,3.93823
CC(=O)NC1=CC2=C(C=C1)N3CCN(CC3=N2)CCOC,4.53788,-0.58434,1.97677
COC1=CC=C(C=C1)C2=NC(=NN2)SC(CC(=O)NCC3=CC=CC=C3)C4=CC(=C(C=C4)OC)OC,-1.91805,6.46938,2.275665
CCOC(=O)CC1=CSC(=N1)NC(=O)NC2=CC=C(C=C2)C,0.567913,4.00907,2.2884915
C1COCCN1C(=O)COC(=O)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=C(C=C3)F,1.46279,1.65827,1.56053
CC(=NO)C1=CC2=C(C=C1)OCCO2,3.6551,4.01114,3.83312
CCOC(=O)C1=C(N(C(=O)NC1C2=CC(=CC=C2)OC)CCCC(=O)O)C,3.6875,4.26603,3.976765
CC(C)(C)C1=CC=C(C=C1)OCC(=O)NC2=CC=C(C=C2)C3=NC4=C(O3)N=CC=C4,9.37611,3.72828,6.552195
CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCCC3,-8.83383,-16.0178,-12.425815
COC1=C(C=C(C=C1)CSCC(=O)NC2=CC=CC=C2)[N+](=O)[O-],5.8354,2.83985,4.337625
CC1=CC(=NC(=N1)NC2CCCC2)C3=NOC(=C3)C4=CC=C(C=C4)Cl,-10.0101,-3.22421,-6.617155
CC1=CC2=C(C=C(N=C2C=C1)C)NCCO.[Cl-],3.7154,3.18815,3.451775
CSC1=CC=CC(=C1)NC(=O)C2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)F,-1.52032,-1.14679,-1.333555
CC1=C2C(=CC=C1)SC(=N2)NC(=O)CSCC3=CC=CC=C3,0.208302,-2.42758,-1.109639
C1C2CC3CC1CC(C2)(C3)P(=O)(O)O,10.2657,-1.21942,4.523140000000001
CCC(CC)(C(=O)/C=C/C1=CC(=CC=C1)Br)C(=O)OCC,-2.11513,-7.05266,-4.583895
CSCCC(C(=O)OCC(=O)N1CCOCC1)NS(=O)(=O)C2=CC=C(C=C2)Cl,3.0903,7.05042,5.07036
CCOC(=O)CC1=NN=C(C2=CC=CC=C21)NC3=CC=CC(=C3)C,-4.23089,-1.10787,-2.66938
CC(CCC(=O)OC)N1CCC(CC1)OC2=CC=C(C=C2)C(=O)N3CCCC3,2.0725,1.12129,1.596895
CN(CCC#N)C(=O)CSC1=NN=C(O1)C2=CNC3=CC=CC=C32,5.13872,1.24158,3.19015
CC(=O)NC1=C(N=C(S1)NN=CC2=CC=CC=C2F)C3=CC=CS3,4.8839,4.06565,4.474774999999999
COC1=C(C=CC(=C1)C(=O)NCC(C2=CC=C(C=C2)F)N3CCOCC3)OCC4=CC=CC=C4Cl,7.2157,0.798771,4.0072355
CN1C2=CC=CC=C2C(=C1C3=CC=CC=C3)C(=O)CCl,29.8188,24.7356,27.2772
C1COC2=C(O1)C=CC(=C2)C(=O)COC(=O)C3=CC=CS3,8.3632,6.81568,7.589440000000001
CC(C)NC(=O)COC(=O)C1=CC(=C(C=C1Cl)F)F,5.91663,11.909,8.912815
CC1(CCC(=O)N1CC2=CC3=C(C=C2)OCO3)C(=O)NC4CCCCC4,1.98875,7.64326,4.816005
CCN1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)N3CCOCC3)NC(=O)C4=CC=C(C=C4)OCC(C)C,4.05395,4.22503,4.13949
C1CCN(CC1)C2=C(C(=O)NN=C2)Cl,3.17226,4.7316,3.95193
